time_to_zero,rf_area,condition,stimulus,.
0.3672,5480.374872,1M,mesopic,
0.3553,8256.013583,1M,mesopic,
0.3732,4705.101103,1M,mesopic,
0.3294,12782.20395,1M,mesopic,
0.4852,6452.27023,1M,mesopic,
0.2638,17652.17817,1M,mesopic,
0.3533,7069.677883,1M,mesopic,
0.2737,8797.496591,1M,mesopic,
0.5031,4891.4544,1M,mesopic,
0.4467,7811.115393,1M,mesopic,
0.3082,11563.88299,1M,mesopic,
0.4255,11930.75832,1M,mesopic,
0.3804,11945.06897,1M,mesopic,
0.1823,14353.22648,1M,mesopic,
0.3109,5090.25246,1M,mesopic,
0.1929,5058.527496,1M,mesopic,
0.2711,33361.83226,1M,mesopic,
0.4984,8019.547097,1M,mesopic,
0.5998343,5836.885498,1M,mesopic,
0.3453,6995.729786,1M,mesopic,
0.4116,9497.391871,1M,mesopic,
0.5501,8555.787824,1M,mesopic,
0.3844,12885.30577,1M,mesopic,
0.3672,14615.67507,1M,mesopic,
0.4872,7305.22896,1M,mesopic,
0.4752,10607.49913,1M,mesopic,
0.3712,15471.99902,1M,mesopic,
0.3891,13477.83471,1M,mesopic,
0.4593,18406.43463,1M,mesopic,
0.3234,4829.092107,1M,mesopic,
0.3698,16274.89108,1M,mesopic,
0.3128,19860.58519,1M,mesopic,
0.3698,15140.6824,1M,mesopic,
0.3964,14718.80942,1M,mesopic,
0.621043911,8245.560176,1M,mesopic,
0.35,7485.750806,1M,mesopic,
0.338,8393.929194,1M,mesopic,
0.22,7650.40693,1M,mesopic,
0.3533,7414.899691,1M,mesopic,
0.2896,13562.16619,1M,mesopic,
0.4653,7459.532148,1M,mesopic,
0.2161,19098.09388,1M,mesopic,
0.4209,26752.10135,1M,mesopic,
0.5587,6964.741025,1M,mesopic,
0.3811,13404.40966,1M,mesopic,
0.3572,21348.8312,1M,mesopic,
0.3268,39398.38926,1M,mesopic,
0.4341,19613.52365,1M,mesopic,
0.2751,17493.6806,1M,mesopic,
0.4215,31860.66345,1M,mesopic,
0.2698,13090.01012,1M,mesopic,
0.291,7332.698874,1M,mesopic,
NA,24405.4257,1M,mesopic,
0.4686,15483.52113,1M,mesopic,
0.1982,9692.202053,1M,mesopic,
0.2088,22353.91753,1M,mesopic,
0.2817,7684.360213,1M,mesopic,
0.4388,16542.33716,1M,mesopic,
0.613753107,7248.59336,1M,mesopic,
0.2287,15554.43753,1M,mesopic,
0.2379,14624.09417,1M,mesopic,
0.3897,20497.97737,1M,mesopic,
0.3897,39536.57711,1M,mesopic,
0.5488,5279.47028,1M,mesopic,
0.2048,16071.81481,1M,mesopic,
0.4308,28384.4609,1M,mesopic,
0.3665,10250.06562,1M,mesopic,
0.4189,19782.64055,1M,mesopic,
0.2552,23973.04029,1M,mesopic,
0.3599,32787.68385,1M,mesopic,
0.2989,6669.862322,1M,mesopic,
0.3069,9013.387289,1M,mesopic,
0.4321,7705.228386,1M,mesopic,
0.3751,7527.723206,1M,mesopic,
0.3672,14427.88252,1M,mesopic,
0.3016,8515.018084,1M,mesopic,
0.279,11338.48286,1M,mesopic,
0.3665,12174.48595,1M,mesopic,
0.4295,29821.89079,1M,mesopic,
0.2658,18644.7832,1M,mesopic,
0.2943,14105.95531,1M,mesopic,
0.3659,36031.67424,1M,mesopic,
0.3195,20052.05296,1M,mesopic,
0.3162,4833.013967,1M,mesopic,
0.2539,27247.92247,1M,mesopic,
0.2207,23120.91944,1M,mesopic,
0.4003,31873.59175,1M,mesopic,
0.222,5714.756176,1M,mesopic,
0.4401,22279.44229,1M,mesopic,
0.4394,24316.6131,1M,mesopic,
0.3162,6416.987575,1M,mesopic,
0.4089,6344.834306,1M,mesopic,
0.4414,6374.731166,1M,mesopic,
0.3294,11020.51494,1M,mesopic,
0.336,20711.87654,1M,mesopic,
0.3142,10714.35082,1M,mesopic,
0.3725,17992.47365,1M,mesopic,
0.4606,17604.09342,1M,mesopic,
0.3599,18366.91984,1M,mesopic,
0.2691,10804.98808,1M,mesopic,
0.3466,9863.965425,1M,mesopic,
0.3473,19446.31809,1M,mesopic,
0.4003,21400.16132,1M,mesopic,
0.395,43435.35475,1M,mesopic,
0.4534,16070.92927,1M,mesopic,
0.2114,23847.56753,1M,mesopic,
0.3519,16285.27749,1M,mesopic,
0.3672,13833.59257,1M,mesopic,
0.3427,22617.5976,1M,mesopic,
0.3208,6220.352079,1M,mesopic,
0.4242,7798.469079,1M,mesopic,
0.3917,14009.62187,1M,mesopic,
0.3201,13917.70549,1M,mesopic,
0.3387,16275.83601,1M,mesopic,
0.3261,13109.09299,1M,mesopic,
0.3208,9118.099643,1M,mesopic,
0.4441,12114.87126,1M,mesopic,
0.2976,12816.10581,1M,mesopic,
0.285,4818.014036,1M,mesopic,
0.3877,6705.969397,1M,mesopic,
0.3433,14021.96388,1M,mesopic,
0.3208,6881.936354,1M,mesopic,
0.2114,20464.73682,1M,mesopic,
0.2539,5452.061643,1M,mesopic,
0.3009,12150.67807,1M,mesopic,
0.3175,8905.882779,1M,mesopic,
0.4374,16834.37705,1M,mesopic,
0.2545,9389.234179,1M,mesopic,
0.3142,14736.02028,1M,mesopic,
0.2592,5633.455586,1M,mesopic,
0.2598,12469.12571,1M,mesopic,
0.3049,13491.73787,1M,mesopic,
0.3473,21293.21733,1M,mesopic,
0.3281,8661.370195,1M,mesopic,
0.3241,7338.088873,1M,mesopic,
0.3506,16247.45325,1M,mesopic,
0.3394,8402.139566,1M,mesopic,
0.2843,6970.436472,1M,mesopic,
0.3745,14693.00406,1M,mesopic,
0.2691,11936.21051,1M,mesopic,
0.3685,24271.65076,1M,mesopic,
0.4328,16747.99121,1M,mesopic,
0.3128,13166.02957,1M,mesopic,
0.2784,17026.23975,1M,mesopic,
0.4275,14626.32723,1M,mesopic,
0.3685,12590.97387,1M,mesopic,
0.3374,14300.92993,1M,mesopic,
0.4123,32396.85435,1M,mesopic,
0.2512,7213.998068,1M,mesopic,
