spkr,age,lightlevel,contrast,.
1.388622904,0,mesopic,2,
1.29808141,0,mesopic,2,
1.286564395,0,mesopic,2,
1.288412899,0,mesopic,2,
1.147879704,0,mesopic,2,
1.202842388,0,mesopic,2,
1.278054996,0,mesopic,2,
1.151071335,0,mesopic,2,
1.362008275,0,mesopic,2,
1.26064046,0,mesopic,2,
1.242191053,0,mesopic,2,
1.314933561,0,mesopic,2,
1.374480647,0,mesopic,2,
1.121102446,0,mesopic,2,
1.05873272,0,mesopic,2,
1.258925585,0,mesopic,2,
1.19556938,0,mesopic,2,
1.123629673,0,mesopic,2,
1.208311742,0,mesopic,2,
1.272499117,0,mesopic,2,
1.417749553,0,mesopic,2,
1.341179777,0,mesopic,2,
1.405234782,0,mesopic,2,
1.412393249,0,mesopic,2,
1.240644453,0,mesopic,2,
1.285915077,0,mesopic,2,
1.269971125,0,mesopic,2,
1.428617101,0,mesopic,2,
1.270504718,0,mesopic,2,
1.388585318,0,mesopic,2,
1.16247183,0,mesopic,2,
0.969750043,0,mesopic,2,
1.239393416,0,mesopic,2,
1.280333458,0,mesopic,2,
1.263229074,0,mesopic,2,
1.182046911,0,mesopic,2,
1.156330542,0,mesopic,2,
1.409274213,0,mesopic,2,
1.031822449,0,mesopic,2,
1.260227429,0,mesopic,2,
1.131660431,0,mesopic,2,
1.196654628,0,mesopic,2,
1.251967954,0,mesopic,2,
1.101713974,0,mesopic,2,
1.460314544,0,mesopic,2,
1.273617372,0,mesopic,2,
1.194424514,0,mesopic,2,
1.223487996,0,mesopic,2,
1.171626978,0,mesopic,2,
1.296728302,0,mesopic,2,
1.316729214,0,mesopic,2,
1.072646557,0,mesopic,2,
1.228148139,0,mesopic,2,
1.365102347,0,mesopic,2,
1.232822058,0,mesopic,2,
1.225652194,0,mesopic,2,
1.339332254,0,mesopic,2,
1.247631671,0,mesopic,2,
1.456558911,0,mesopic,2,
1.318444007,0,mesopic,2,
1.41985545,0,mesopic,2,
1.245432167,0,mesopic,2,
1.146880236,0,mesopic,2,
1.279190354,0,mesopic,2,
1.352239226,0,mesopic,2,
1.329394158,0,mesopic,2,
1.296493915,0,mesopic,2,
1.187850452,0,mesopic,2,
1.254493755,0,mesopic,2,
1.35340952,0,mesopic,2,
1.25539492,0,mesopic,2,
1.281606915,0,mesopic,2,
1.192054487,0,mesopic,2,
1.149961977,0,mesopic,2,
1.253928545,0,mesopic,2,
1.43848136,0,mesopic,2,
1.214687728,0,mesopic,2,
1.061738582,0,mesopic,2,
1.340203034,0,mesopic,2,
1.293167019,0,mesopic,2,
1.21886223,0,mesopic,2,
1.391306789,0,mesopic,2,
1.280916223,0,mesopic,2,
1.464701944,0,mesopic,2,
1.093911114,0,mesopic,2,
1.324090691,0,mesopic,2,
1.335975775,0,mesopic,2,
1.217646572,0,mesopic,2,
1.191679212,0,mesopic,2,
1.01738407,0,mesopic,2,
1.182574375,0,mesopic,2,
1.30978387,0,mesopic,2,
1.07497134,0,mesopic,2,
1.150600377,0,mesopic,2,
1.270988247,0,mesopic,2,
1.371069954,0,mesopic,2,
1.444685139,0,mesopic,2,
1.162929812,0,mesopic,2,
1.119890137,0,mesopic,2,
1.343707655,0,mesopic,2,
1.363605182,0,mesopic,2,
1.150733274,0,mesopic,2,
1.365346924,0,mesopic,2,
1.139583206,0,mesopic,2,
1.399572257,0,mesopic,2,
1.168079732,0,mesopic,2,
1.120749715,0,mesopic,2,
1.311121587,0,mesopic,2,
0.999519048,0,mesopic,2,
1.284757131,0,mesopic,2,
1.22682592,0,mesopic,2,
1.276079056,0,mesopic,2,
1.274005662,0,mesopic,2,
1.122841573,0,mesopic,2,
1.339683309,0,mesopic,2,
1.246340492,0,mesopic,2,
1.451781838,0,mesopic,2,
1.276061907,0,mesopic,2,
1.190678007,0,mesopic,2,
1.086587592,0,mesopic,2,
1.182631956,0,mesopic,2,
1.203701748,0,mesopic,2,
1.31152394,0,mesopic,2,
1.422714544,0,mesopic,2,
1.231928478,0,mesopic,2,
1.14416042,0,mesopic,2,
1.343419101,0,mesopic,2,
1.275076818,0,mesopic,2,
1.090852066,0,mesopic,2,
1.05445539,0,mesopic,2,
1.531443359,0,mesopic,2,
0.977777146,0,mesopic,2,
1.145500563,0,mesopic,2,
1.245463511,0,mesopic,2,
1.252995323,0,mesopic,2,
1.177991149,0,mesopic,2,
1.211348612,0,mesopic,2,
1.224991039,0,mesopic,2,
1.094144623,0,mesopic,2,
1.319173707,0,mesopic,2,
1.271079138,0,mesopic,2,
1.309414982,0,mesopic,2,
1.124421948,0,mesopic,2,
1.462012164,0,mesopic,2,
1.299212442,0,mesopic,2,
1.25653816,0,mesopic,2,
1.383732133,0,mesopic,2,
1.280754256,0,mesopic,2,
1.305344855,0,mesopic,2,
1.261595973,0,mesopic,2,
1.412265226,0,mesopic,2,
1.173221987,0,mesopic,2,
1.167596933,0,mesopic,2,
1.369521939,0,mesopic,2,
1.233274057,0,mesopic,2,
1.281786323,0,mesopic,2,
1.251111972,0,mesopic,2,
1.268295793,0,mesopic,2,
1.197619913,0,mesopic,2,
1.272252525,0,mesopic,2,
1.131150962,0,mesopic,2,
1.282537229,0,mesopic,2,
1.397445445,0,mesopic,2,
