time_to_zero,rf_area,condition,stimulus
0.1498,19543.961181851,1M,photopic
0.2131,11428.8971514201,1M,photopic
0.2187,9970.52266228188,1M,photopic
0.2486,7858.44192595508,1M,photopic
0.2396,4085.28536442859,1M,photopic
0.1786,2637.86982774156,1M,photopic
0.1544,20727.7968682212,1M,photopic
0.2462,10507.2114486746,1M,photopic
0.2035,32182.901921301,1M,photopic
0.1819,26130.6956785339,1M,photopic
0.1803,12758.8835897383,1M,photopic
0.1965,19162.9261774113,1M,photopic
0.1906,12689.0780600659,1M,photopic
0.231,10599.3318940042,1M,photopic
0.2035,9225.54028134919,1M,photopic
0.1591,15018.5541525384,1M,photopic
0.1717,22864.6557481031,1M,photopic
0.1442,12850.7274021513,1M,photopic
0.2429,12961.4683233058,1M,photopic
0.1621,21357.3085701585,1M,photopic
0.2519,3734.35247674216,1M,photopic
0.2237,16012.6359018887,1M,photopic
0.1713,10812.3086778752,1M,photopic
0.2492,2336.88883416785,1M,photopic
0.308533554266777,5406.31056540919,1M,photopic
0.1925,8480.71678090917,1M,photopic
0.1843,7524.37940519591,1M,photopic
0.1707,5682.60681793868,1M,photopic
0.1465,14509.4885988703,1M,photopic
0.2187,9826.34694362976,1M,photopic
0.2002,7780.50756046287,1M,photopic
0.1899,7457.84112123531,1M,photopic
0.1568,12427.5429727059,1M,photopic
0.1488,22836.1811078354,1M,photopic
0.1402,12406.4907664029,1M,photopic
0.1412,12419.7616487299,1M,photopic
0.2045,10428.7418646461,1M,photopic
0.1654,14748.2210639474,1M,photopic
0.1548,23234.4516256397,1M,photopic
0.2956,4492.25430100866,1M,photopic
0.1912,6502.88609188701,1M,photopic
0.2429,22152.7469399923,1M,photopic
0.2628,9060.80371796106,1M,photopic
0.1859,16936.3935531627,1M,photopic
0.1564,24558.3902500192,1M,photopic
0.1869,7337.49168546112,1M,photopic
0.2293,11220.3899588961,1M,photopic
0.2476,9935.5708396171,1M,photopic
0.1468,17478.5668328348,1M,photopic
0.1511,35847.1135423967,1M,photopic
0.2224,9707.96306855244,1M,photopic
0.2164,11585.5314753158,1M,photopic
0.1461,11755.6213880974,1M,photopic
0.1491,22546.3649672634,1M,photopic
0.237,7787.25529763135,1M,photopic
0.2393,5111.51554128696,1M,photopic
0.1514,23915.4791982416,1M,photopic
0.2413,13947.3956522097,1M,photopic
0.2085,10463.4619354168,1M,photopic
0.168,7338.66022463139,1M,photopic
0.171,9242.2897071978,1M,photopic
0.1866,24599.8282899326,1M,photopic
0.223,2247.04010171239,1M,photopic
0.1796,10478.2752411554,1M,photopic
0.1836,11912.3490979351,1M,photopic
0.1813,4945.87540228665,1M,photopic
0.1783,8612.98828478772,1M,photopic
0.2343,12328.2210342231,1M,photopic
0.1763,19786.9590001119,1M,photopic
0.2214,8707.1072206005,1M,photopic
