spikerate,info,index,genotype,months
11.6666666666667,15.2493069359204,215,Degenerative,3
17.3333333333333,16.5702643529096,216,Degenerative,3
17.3333333333333,13.0315050297944,217,Degenerative,3
22.4444444444444,22.0016672865231,222,Degenerative,3
9.77777777777778,12.5779515643293,223,Degenerative,3
11.5555555555556,13.355338731584,225,Degenerative,3
14.5555555555556,12.2851322174252,230,Degenerative,3
19.6666666666667,13.9984841398188,232,Degenerative,3
14.3333333333333,12.7370440970468,256,Degenerative,3
9.33333333333333,12.0496247268007,276,Degenerative,3
4,12.2089208796825,286,Degenerative,3
11.3333333333333,12.7905324896081,298,Degenerative,3
22.2222222222222,16.9566540252169,300,Degenerative,3
10.1111111111111,13.7042485861347,304,Degenerative,3
