spikerate,info,index,genotype,months,.
48.66666667,53.19796611,392,Degenerative,2,
37.11111111,37.28280254,406,Degenerative,2,
17.66666667,33.43772944,422,Degenerative,2,
28.88888889,30.92412904,81,Degenerative,2,
17.44444444,28.54155089,136,Degenerative,2,
28.44444444,36.52621517,174,Degenerative,2,
19.22222222,29.9485405,200,Degenerative,2,
21.66666667,28.74130946,215,Degenerative,2,
31.55555556,30.26692863,222,Degenerative,2,
34.44444444,39.01459635,228,Degenerative,2,
20.66666667,28.62455458,257,Degenerative,2,
17.55555556,28.61745216,269,Degenerative,2,
26.11111111,30.91836971,277,Degenerative,2,
30.66666667,25.58337034,285,Degenerative,2,
19.88888889,26.3916513,288,Degenerative,2,
18.44444444,27.3735322,294,Degenerative,2,
23.88888889,29.60279041,306,Degenerative,2,
35.22222222,31.65509791,318,Degenerative,2,
15.44444444,23.64988216,320,Degenerative,2,
26.66666667,28.27676503,339,Degenerative,2,
27.66666667,30.79788718,342,Degenerative,2,
32.66666667,36.32913299,353,Degenerative,2,
22.22222222,25.91014741,360,Degenerative,2,
29.55555556,35.80983563,373,Degenerative,2,
18.22222222,29.4171173,385,Degenerative,2,
16,25.79409626,413,Degenerative,2,
25.11111111,29.85100612,430,Degenerative,2,
32.22222222,37.19395136,440,Degenerative,2,
26.33333333,36.1572485,444,Degenerative,2,
18,26.8114937,459,Degenerative,2,
19.66666667,24.72295964,462,Degenerative,2,
17.44444444,29.00135352,473,Degenerative,2,
10.55555556,15.02416749,8,Degenerative,2,
15.22222222,18.9674131,23,Degenerative,2,
43.66666667,48.05037611,32,Degenerative,2,
12.66666667,21.35150991,36,Degenerative,2,
22.22222222,34.02275979,60,Degenerative,2,
31.88888889,40.74371927,67,Degenerative,2,
36.66666667,45.68311918,84,Degenerative,2,
19.55555556,23.70178219,87,Degenerative,2,
25.88888889,38.10410077,92,Degenerative,2,
12.22222222,13.68380246,118,Degenerative,2,
31.66666667,32.81356598,129,Degenerative,2,
23.88888889,25.93374614,164,Degenerative,2,
17.88888889,31.32673753,180,Degenerative,2,
10.33333333,18.03272005,208,Degenerative,2,
19.22222222,27.52983775,211,Degenerative,2,
18.11111111,26.98784005,273,Degenerative,2,
46.77777778,44.76082724,287,Degenerative,2,
10.66666667,15.09487424,300,Degenerative,2,
24.55555556,15.17049691,323,Degenerative,2,
24.22222222,34.21551297,356,Degenerative,2,
14.44444444,23.72386416,360,Degenerative,2,
20.77777778,32.75245293,373,Degenerative,2,
71.44444444,56.42120404,389,Degenerative,2,
30.11111111,38.95537959,399,Degenerative,2,
25.88888889,39.14542663,411,Degenerative,2,
15.11111111,21.42726212,462,Degenerative,2,
17.44444444,27.90252911,467,Degenerative,2,
6.333333333,14.44715112,530,Degenerative,2,
7.888888889,13.93563309,8,Degenerative,2,
13.33333333,12.98563665,18,Degenerative,2,
11.88888889,16.44421151,23,Degenerative,2,
26,25.9203927,35,Degenerative,2,
11,21.32134778,49,Degenerative,2,
11.66666667,21.29778124,84,Degenerative,2,
31.66666667,38.0653948,90,Degenerative,2,
14.55555556,21.8169984,106,Degenerative,2,
10.11111111,13.65475462,108,Degenerative,2,
11.11111111,22.93803391,141,Degenerative,2,
36.11111111,36.68044047,152,Degenerative,2,
10.77777778,18.84630371,156,Degenerative,2,
22.66666667,29.34645569,175,Degenerative,2,
15.88888889,18.91794649,197,Degenerative,2,
8.444444444,13.39784074,207,Degenerative,2,
20.33333333,24.85327517,234,Degenerative,2,
13.44444444,17.15161987,245,Degenerative,2,
12.77777778,17.71096716,253,Degenerative,2,
46.11111111,46.5906687,308,Degenerative,2,
10.11111111,14.75180415,325,Degenerative,2,
12.22222222,14.20126141,369,Degenerative,2,
12.66666667,15.70231324,378,Degenerative,2,
25.11111111,30.09140723,392,Degenerative,2,
43,44.62829198,402,Degenerative,2,
29.66666667,12.96353488,406,Degenerative,2,
6,13.57199122,438,Degenerative,2,
26.55555556,36.1739863,442,Degenerative,2,
10.22222222,13.31630274,462,Degenerative,2,
12.33333333,14.99235995,506,Degenerative,2,
30,33.92352527,559,Degenerative,2,
12.77777778,16.6813545,69,Degenerative,3,
9.111111111,12.19678917,84,Degenerative,3,
11.44444444,11.48483431,103,Degenerative,3,
27.22222222,37.28271412,107,Degenerative,3,
10.33333333,12.92174652,125,Degenerative,3,
7.111111111,14.56005822,137,Degenerative,3,
43.88888889,38.18114228,148,Degenerative,3,
9.777777778,15.50393321,162,Degenerative,3,
6.888888889,12.97758081,185,Degenerative,3,
9,13.42179778,202,Degenerative,3,
17.77777778,25.45341454,245,Degenerative,3,
13.44444444,12.5058135,260,Degenerative,3,
30.11111111,33.58284359,274,Degenerative,3,
7.222222222,13.68602258,287,Degenerative,3,
28.88888889,37.50846355,299,Degenerative,3,
7.555555556,16.36549787,320,Degenerative,3,
8.444444444,14.44977186,338,Degenerative,3,
16.66666667,23.23456072,348,Degenerative,3,
36.55555556,48.67322087,355,Degenerative,3,
20,25.8081504,366,Degenerative,3,
11.77777778,11.67541991,396,Degenerative,3,
35.77777778,27.3881315,413,Degenerative,3,
8.444444444,17.2937266,455,Degenerative,3,
5,10.74109128,476,Degenerative,3,
5.111111111,11.13351964,484,Degenerative,3,
6.555555556,12.79060198,508,Degenerative,3,
4.222222222,10.16686328,34,Degenerative,3,
3.888888889,9.08739845,53,Degenerative,3,
21.66666667,28.08398814,72,Degenerative,3,
30.66666667,11.92951461,84,Degenerative,3,
14.55555556,10.84368621,99,Degenerative,3,
19.55555556,23.18763879,104,Degenerative,3,
10,17.41659531,135,Degenerative,3,
34.55555556,31.71397307,146,Degenerative,3,
6.222222222,9.768698833,152,Degenerative,3,
13.66666667,15.74079525,157,Degenerative,3,
11.22222222,14.34622991,164,Degenerative,3,
11.77777778,11.43187975,192,Degenerative,3,
14.44444444,15.74581073,198,Degenerative,3,
14.11111111,11.93330338,214,Degenerative,3,
5.222222222,9.473556886,241,Degenerative,3,
3.888888889,9.441613777,249,Degenerative,3,
29.88888889,27.86030793,267,Degenerative,3,
5.444444444,12.36734731,295,Degenerative,3,
13.44444444,23.79506763,305,Degenerative,3,
30.33333333,30.55721982,313,Degenerative,3,
3.555555556,9.262291096,342,Degenerative,3,
11.88888889,15.24996614,353,Degenerative,3,
32.66666667,43.03084939,369,Degenerative,3,
13.88888889,22.76050228,412,Degenerative,3,
7.444444444,9.107620347,431,Degenerative,3,
10.22222222,9.130886602,436,Degenerative,3,
9.444444444,13.22386542,456,Degenerative,3,
19.55555556,12.11396721,516,Degenerative,3,
9.555555556,10.41458843,532,Degenerative,3,
21,31.39573334,15,Degenerative,3,
33.11111111,36.95809138,47,Degenerative,3,
24,29.66968386,59,Degenerative,3,
24.11111111,36.0050547,100,Degenerative,3,
24.11111111,32.9291958,110,Degenerative,3,
22.11111111,30.91508081,119,Degenerative,3,
29.44444444,40.95123121,136,Degenerative,3,
30.55555556,34.19949414,165,Degenerative,3,
30.11111111,33.78379282,174,Degenerative,3,
32.88888889,41.94886071,178,Degenerative,3,
22.11111111,33.18647875,185,Degenerative,3,
22.44444444,32.75084581,191,Degenerative,3,
25.88888889,38.24857795,193,Degenerative,3,
17.88888889,29.91802062,199,Degenerative,3,
18.66666667,30.94449265,217,Degenerative,3,
28.11111111,40.27624694,220,Degenerative,3,
23.44444444,34.63483135,277,Degenerative,3,
18.22222222,30.72960327,297,Degenerative,3,
18.66666667,32.75063668,330,Degenerative,3,
23.11111111,37.13483847,373,Degenerative,3,
22.66666667,29.5441906,392,Degenerative,3,
21.33333333,33.34828132,420,Degenerative,3,
20.55555556,36.21615676,428,Degenerative,3,
28.66666667,32.78150079,435,Degenerative,3,
26.11111111,32.41895002,440,Degenerative,3,
27.88888889,30.04433066,443,Degenerative,3,
18,26.65634733,8,Degenerative,3,
38.11111111,28.50064598,32,Degenerative,3,
17.22222222,26.30764371,43,Degenerative,3,
22.33333333,27.83409274,77,Degenerative,3,
24.66666667,36.00942812,105,Degenerative,3,
25,28.69688715,108,Degenerative,3,
18.88888889,28.8898158,113,Degenerative,3,
24,32.53732332,130,Degenerative,3,
26.77777778,28.89440979,163,Degenerative,3,
25.55555556,28.26172336,169,Degenerative,3,
25.66666667,30.76953984,171,Degenerative,3,
24.33333333,29.74719849,184,Degenerative,3,
19.33333333,31.05019143,192,Degenerative,3,
46.55555556,37.2024044,194,Degenerative,3,
26,25.80663926,202,Degenerative,3,
13.66666667,25.6176455,217,Degenerative,3,
21.22222222,32.96894985,227,Degenerative,3,
23.77777778,29.23802905,229,Degenerative,3,
20.22222222,26.87148476,304,Degenerative,3,
17.22222222,28.78421105,347,Degenerative,3,
17.44444444,31.59430036,387,Degenerative,3,
21.66666667,26.27461527,395,Degenerative,3,
23.44444444,27.67727795,432,Degenerative,3,
18.11111111,29.24187753,449,Degenerative,3,
19.66666667,26.95437531,458,Degenerative,3,
18.11111111,25.94524471,463,Degenerative,3,
14.66666667,27.09002596,26,Degenerative,4,
13.77777778,25.97327751,44,Degenerative,4,
17,27.07395603,62,Degenerative,4,
29.22222222,29.71705275,77,Degenerative,4,
26.77777778,31.87233482,94,Degenerative,4,
23.11111111,37.02120932,124,Degenerative,4,
24.55555556,37.5968075,168,Degenerative,4,
26.66666667,36.93198166,213,Degenerative,4,
26.88888889,32.2214886,221,Degenerative,4,
